date,population,residential,public_litter_bins,dumped_rubbish,street_sweepings,mattresses,commingled_recycling,cardboard,hardwaste_to_landfill,hardwaste_recovered,hardwaste_total,green_waste,total_waste
2018/6/1,169961,2289.5,214.82,184.46,355.14,503,892.74,65.92,62.84,15.72,78.56,6.42,4087.56
2018/7/1,169961,2404.8,225.38,149.3,241.14,411,909.61,64.58,53.36,15.06,68.42,7.76,4070.99
2018/8/1,169961,2441.82,243.8,119.28,179.14,460,915.17,63.24,86.32,16.66,102.98,10.28,4075.71
2018/9/1,169961,2239.68,177.84,114.8,201.62,433,821.11,58.22,38.62,18.2,56.82,3.62,3673.71
2018/10/1,169961,2697.46,186.46,154.82,256.23,403,970.94,68.46,72.44,18.98,91.42,9.48,4435.27
2018/11/1,169961,2546.07,208.26,169.16,279.14,403,959.16,70.14,42.38,16.48,58.86,9.48,4300.27
2018/12/1,169961,2542.94,258.02,140.94,331.87,324,967.6,73.78,47.18,16.48,63.66,7.6,4386.41
2019/1/1,178955,2549.5,225.68,138.75,296.02,625,969.07,64.44,50.5,17.45,67.95,9.34,4320.75
2019/2/1,178955,2730.18,238.96,125.68,277.82,471,445.16,59.98,40.2,15.82,56.02,7.92,3941.72
2019/3/1,178955,2752.7,286,140,319.78,675,562.46,72.45,72.82,17.48,90.3,7.84,4231.53
2019/4/1,178955,2536.18,235.74,163.22,319.6,377,857.49,70.6,51.92,14.2,66.12,7.1,4256.05
2019/5/1,178955,2479.2,289.1,167.46,401.78,485,890.68,72.38,63.54,27.65,91.19,10.04,4401.83
2019/6/1,178955,2262.16,241.34,129.22,354.43,345,798.56,69.28,41.9,27.09,68.99,7.36,3931.34
2019/7/1,178955,2794.24,247.22,118.62,270.82,520,694.78,74.9,91.24,40.44,131.68,14.82,4347.08
2019/8/1,178955,3298.58,320.16,72.08,246.7,466,0,90.44,89.52,29.09,118.61,6.62,4153.19
2019/9/1,178955,2932.6,303.76,77.72,237.74,471,201.06,133.34,103.96,34.39,138.35,8.06,4032.63
2019/10/1,178955,2742.06,338.56,79.76,324.1,429,750.24,133.16,101.5,31.07,132.57,8.96,4509.41
2019/11/1,178955,2662.94,334.6,89.04,310.1,422,748.99,106.64,76.18,29.93,106.11,10.76,4369.18
2019/12/1,178955,2738.82,354.56,89.2,286.62,654,903.12,72.22,84.68,35.11,119.79,11.14,4575.47
2020/1/1,187000,2608.78,379.94,99.44,293.9,460,872.4,74.58,99.5,27.28,126.78,9.06,4464.88
2020/2/1,187000,2382.83,257.94,75.08,229.2,577,826.52,66.46,94.82,32.61,127.43,10.78,3976.24
2020/3/1,187000,2627.32,254.42,101.06,268.64,782,890.26,56.36,105.64,38.4,144.04,12.4,4354.5
