UniqueId,FacilityOrSiteName,Owner,ManagementType,InfrastructureType,FacilityStreetAddress,FacilitySuburbLocality,State,Postcode,Latitude,Longitude,BatteriesRechargeable,BatteriesSingleUse,BatteriesLeadAcid,ComputersAccessories,MobilePhones,PrinterCartridges,Televisions,ElectricalAppliances,ElectricalAppliancesBatteryOperated,ChemicalDrums,Mercury,WhiteGoods
VIC00368,Vins Bins,Vins Bins,Drop-off,Transfer station,45 Brasser Avenue,Dromana,VIC,3936,-38.3372286,144.9858815,1,1,1,1,1,1,1,1,1,0,0,1
VIC00372,Drouin Waste Recyclers,Drouin Waste Recyclers,Drop-off,Transfer station,81 Weerong Road,Drouin,VIC,3818,-38.122448,145.83346,1,1,1,1,1,1,1,1,1,0,0,1
VIC00377,Drysdale Transfer Station,Greater Geelong City Council,Drop-off,Transfer station,82-180 Becks Road,Drysdale,VIC,3222,-38.1708,144.6276,1,1,1,1,1,1,1,1,1,0,0,1
VIC00378,Dunkeld Resource Recovery Centre,Southern Grampians Shire Council,Drop-off,Transfer station,7 Bellicourt Road,Dunkeld,VIC,3294,-37.6584,142.34886,1,1,1,1,1,1,1,1,1,0,0,1
VIC00380,Dunolly Transfer Station,Central Goldfields Shire Council,Drop-off,Transfer station,Maryborough Dunolly Road,Dunolly,VIC,3472,-36.88062,143.751477,1,1,1,1,1,1,1,1,1,0,0,1
VIC00383,Eaglehawk Transfer Station,Greater Bendigo City Council,Drop-off,Transfer station,191-193 Upper California Gully Road,Eaglehawk,VIC,3556,-36.659505,144.212341,1,1,1,1,1,1,1,1,1,0,0,1
VIC00393,Echuca Resource Recovery Centre,Campaspe Shire Council,Drop-off,Transfer station,520 McKenzie Road,Echuca,VIC,3564,-36.11375,144.462303,1,1,1,1,1,1,1,1,1,0,0,1
VIC00396,Edenhope Transfer Station,West Wimmera Shire Council,Drop-off,Transfer station,Moss Street,Edenhope,VIC,3318,-37.038263,141.279649,1,1,1,1,1,1,1,1,1,0,0,1
VIC00397,Eildon Resource Recovery Centre,Murrindindi Shire Council,Drop-off,Transfer station,100 Jerusalem Creek Road,Eildon,VIC,3713,-37.140367,145.555326,1,1,1,1,1,1,1,1,1,0,0,1
VIC00398,Eldorado Transfer Station,Wangaratta Rural City Council,Drop-off,Transfer station,Woolshed Road,Eldorado,VIC,3746,-36.301597,146.637923,1,1,1,1,1,1,1,1,1,0,0,1
VIC00399,Elmhurst Resource Recovery Centre,Ararat Rural City Council,Drop-off,Transfer station,McKay Street,Elmhurst,VIC,3469,-37.191022,143.251242,1,1,1,1,1,1,1,1,1,0,0,1
VIC00408,Ensay Trailer,East Gippsland Shire Council,Drop-off,Transfer station,Doctors Flat Road,Ensay,VIC,3895,-37.367449,147.793477,1,1,1,1,1,1,1,1,1,0,0,1
VIC00416,Erica Transfer Station,Baw Baw Shire Council,Drop-off,Transfer station,Mathiesons Road,Erica,VIC,3825,-37.971961,146.371268,1,1,1,1,1,1,1,1,1,0,0,1
VIC00419,Euroa Resource Recovery Centre,Strathbogie Shire Council,Drop-off,Transfer station,46 Euroa Tip Road,Euroa,VIC,3666,-36.454086,145.330434,1,1,1,1,1,1,1,1,1,0,0,1
VIC00422,Falls Creek Village Transfer Station,Falls Creek Alpine Resort Management Board,Drop-off,Transfer station,Bogong High Plains Rd,Falls Creek,VIC,3699,-36.863472,147.284417,1,1,1,1,1,1,1,1,1,0,0,1
VIC00432,Flinders Hopper,Mornington Peninsula Shire Council,Drop-off,Transfer station,21 Double Creek Road,Flinders  ,VIC,3929,-38.4764645,145.0055195,1,1,1,1,1,1,1,1,1,0,0,1
VIC00436,Bairnsdale Transfer Station,East Gippsland Shire Council,Drop-off,Transfer station,200 Johnstons Road,Forge Creek,VIC,3875,-37.87967,147.626012,1,1,1,1,1,1,1,1,1,0,0,1
VIC00439,Foster Transfer Station,South Gippsland Shire Council,Drop-off,Transfer station,South Gippsland Highway,Foster,VIC,3960,-38.6521,146.219392,1,1,1,1,1,1,1,1,1,0,0,1
VIC00440,Framlingham Transfer Station,Framlingham Aboriginal Trust,Drop-off,Transfer station,46 Kirrae Avenue,Framlingham,VIC,3265,-38.301724,142.6497265,1,1,1,1,1,1,1,1,1,0,0,1
VIC00446,Sims Geelong,Sims Ltd,Drop-off,Transfer station,266 Thompson Road,Geelong,VIC,3220,-38.1086631,144.3443667,1,1,1,1,1,1,1,1,1,0,0,1
VIC00452,Gellibrand Drop Off Facility,Colac Otway Shire Council,Drop-off,Transfer station,10 Rifle Range Road,Gellibrand,VIC,3239,-38.52651,143.53893,1,1,1,1,1,1,1,1,1,0,0,1
VIC00453,Genoa Transfer Station,East Gippsland Shire Council,Drop-off,Transfer station,13 Nash Camp Track,Genoa,VIC,3891,-37.478899,149.583393,1,1,1,1,1,1,1,1,1,0,0,1
VIC00464,Glen Wills Trailer,East Gippsland Shire Council,Drop-off,Transfer station,Omeo Highway,Glen Wills,VIC,3898,-36.887033,147.461333,1,1,1,1,1,1,1,1,1,0,0,1
VIC00466,Moyhu Transfer Station,Wangaratta Rural City Council,Drop-off,Transfer station,569 Boggy Creek Rd,Moyhu,VIC,3732,-36.6371261761102,146.351095284658,1,1,1,1,1,1,1,1,1,0,0,1
VIC00468,Glenthompson Resource Recovery Centre,Southern Grampians Shire Council,Drop-off,Transfer station,Glenthompson Maroona Road,Glenthompson,VIC,3293,-37.62252,142.55226,1,1,1,1,1,1,1,1,1,0,0,1
VIC00469,Goongerah Trailer,East Gippsland Shire Council,Drop-off,Transfer station,Bonang Highway,Goongerah,VIC,3888,-37.357928,148.684166,1,1,1,1,1,1,1,1,1,0,0,1
VIC00470,Goornong Transfer Station,Greater Bendigo City Council,Drop-off,Transfer station,55-59 English's Road,Goornong,VIC,3557,-36.6164669999999,144.5156445,1,1,1,1,1,1,1,1,1,0,0,1
VIC00471,Goroke Transfer Station,West Wimmera Shire Council,Drop-off,Transfer station,Kiely Street,Goroke,VIC,3412,-36.721414,141.465108,1,1,1,1,1,1,1,1,1,0,0,1
VIC00472,GrantvilleTransfer Station,Bass Coast Shire Council,Drop-off,Transfer station,1685 Bass Highway,Grantville,VIC,3984,-38.420836,145.5196345,1,1,1,1,1,1,1,1,1,0,0,1
VIC00473,Graytown Resource Recovery Centre,Strathbogie Shire Council,Drop-off,Transfer station,1487 Costerfield Road,Graytown,VIC,3608,-36.501437,144.555223,1,1,1,1,1,1,1,1,1,0,0,1
